Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
Mexico,Liga MX,2021/2022,24/10/2021,3:00,Guadalajara Chivas,Cruz Azul,1,1,D,3.32,2.98,2.56,3.36,3.04,2.59,3.15,2.89,2.47
Mexico,Liga MX,2021/2022,24/10/2021,18:00,U.N.A.M.- Pumas,Club Tijuana,3,1,H,1.81,3.58,5.03,1.93,3.7,5.03,1.81,3.45,4.41
Mexico,Liga MX,2021/2022,25/10/2021,1:00,Atl. San Luis,Atlas,2,6,A,3.3,2.94,2.6,3.34,3.06,2.63,3.07,2.86,2.54
Mexico,Liga MX,2021/2022,25/10/2021,1:06,Santos Laguna,Toluca,2,2,D,1.61,4.43,5.46,1.67,4.43,5.8,1.6,4.12,5.04
Mexico,Liga MX,2021/2022,25/10/2021,3:00,Pachuca,Juarez,1,1,D,1.55,4.03,7.25,1.59,4.05,7.28,1.53,3.84,6.45
Mexico,Liga MX,2021/2022,29/10/2021,1:00,Atlas,Club Tijuana,0,2,A,1.48,4.35,7.93,1.51,4.35,7.97,1.46,4.09,6.97
Mexico,Liga MX,2021/2022,30/10/2021,1:00,Necaxa,Mazatlan FC,2,1,H,1.71,3.65,5.76,1.73,3.8,6,1.66,3.56,5.37
Mexico,Liga MX,2021/2022,30/10/2021,3:00,Juarez,Puebla,0,2,A,2.45,3.02,3.46,2.48,3.17,3.49,2.39,2.93,3.22
Mexico,Liga MX,2021/2022,30/10/2021,23:00,Queretaro,Santos Laguna,2,3,A,3.19,3.26,2.45,3.22,3.34,2.5,3.02,3.11,2.4
Mexico,Liga MX,2021/2022,31/10/2021,1:06,Pachuca,U.N.A.M.- Pumas,1,1,D,1.84,3.61,4.76,1.85,3.65,4.89,1.8,3.45,4.4
Mexico,Liga MX,2021/2022,31/10/2021,2:10,U.A.N.L.- Tigres,Guadalajara Chivas,2,1,H,1.85,3.28,5.43,1.89,3.42,5.5,1.8,3.21,4.92
Mexico,Liga MX,2021/2022,31/10/2021,18:00,Toluca,Club Leon,0,0,D,3.03,3.44,2.46,3.05,3.68,2.47,2.88,3.36,2.35
Mexico,Liga MX,2021/2022,31/10/2021,23:05,Cruz Azul,Club America,2,1,H,2.26,3.05,3.89,2.4,3.05,3.98,2.21,2.89,3.67
Mexico,Liga MX,2021/2022,1/11/2021,1:05,Atl. San Luis,Monterrey,1,1,D,3.57,3.36,2.22,3.66,3.39,2.23,3.36,3.21,2.17
Mexico,Liga MX,2021/2022,4/11/2021,1:00,Pachuca,Atl. San Luis,0,0,D,1.65,3.86,6.1,1.65,3.86,6.17,1.61,3.65,5.74
Mexico,Liga MX,2021/2022,4/11/2021,3:00,Cruz Azul,Club Leon,0,1,A,2.19,3.09,4.01,2.23,3.21,4.03,2.15,2.98,3.75
Mexico,Liga MX,2021/2022,5/11/2021,1:00,U.N.A.M.- Pumas,Santos Laguna,0,3,A,2.46,3.35,3.09,2.49,3.48,3.1,2.37,3.24,2.95
Mexico,Liga MX,2021/2022,5/11/2021,3:00,Atlas,Queretaro,2,0,H,1.66,3.76,6.12,1.66,4.04,6.21,1.61,3.72,5.58
Mexico,Liga MX,2021/2022,6/11/2021,1:00,Puebla,Toluca,1,0,H,2.19,3.28,3.76,2.2,3.53,3.76,2.11,3.25,3.48
Mexico,Liga MX,2021/2022,6/11/2021,3:00,Mazatlan FC,Guadalajara Chivas,0,1,A,3.57,2.85,2.52,3.64,2.92,2.52,3.37,2.75,2.44
Mexico,Liga MX,2021/2022,6/11/2021,23:00,Club Leon,Necaxa,3,0,H,1.93,3.45,4.48,1.96,3.7,4.5,1.88,3.36,4.19
Mexico,Liga MX,2021/2022,7/11/2021,1:00,Club America,Monterrey,0,0,D,2.44,3.2,3.28,2.44,3.39,3.35,2.33,3.11,3.13
Mexico,Liga MX,2021/2022,7/11/2021,3:00,U.A.N.L.- Tigres,Juarez,3,0,H,1.43,4.55,8.8,1.47,4.75,8.85,1.42,4.33,7.59
Mexico,Liga MX,2021/2022,7/11/2021,3:06,Club Tijuana,Pachuca,3,2,H,2.78,3.28,2.76,2.85,3.39,2.76,2.72,3.15,2.6
Mexico,Liga MX,2021/2022,7/11/2021,23:00,U.N.A.M.- Pumas,Cruz Azul,4,3,H,2.87,3.14,2.77,2.95,3.27,2.8,2.8,3.05,2.61
Mexico,Liga MX,2021/2022,8/11/2021,1:06,Santos Laguna,Atl. San Luis,0,0,D,2.17,3.01,4.27,2.2,3.48,4.27,2.07,3.18,3.68
Mexico,Liga MX,2021/2022,21/11/2021,1:00,Santos Laguna,Atl. San Luis,2,0,H,1.74,3.82,5.33,1.78,3.82,5.5,1.71,3.58,4.91
Mexico,Liga MX,2021/2022,21/11/2021,3:00,Puebla,Guadalajara Chivas,2,2,D,2.77,2.79,3.25,2.8,3.01,3.4,2.6,2.75,3.14
Mexico,Liga MX,2021/2022,21/11/2021,23:00,Toluca,U.N.A.M.- Pumas,1,2,A,2.34,3.2,3.48,2.38,3.43,3.48,2.27,3.15,3.24
Mexico,Liga MX,2021/2022,22/11/2021,1:15,Cruz Azul,Monterrey,1,4,A,2.39,3.01,3.62,2.5,3.15,3.32,2.39,2.98,3.17
Mexico,Liga MX,2021/2022,25/11/2021,1:00,U.N.A.M.- Pumas,Club America,0,0,D,3.35,2.88,2.62,3.5,3,2.63,3.23,2.83,2.47
Mexico,Liga MX,2021/2022,25/11/2021,3:05,Monterrey,Atlas,0,0,D,2.07,3.09,4.57,2.09,3.3,4.57,2,3.04,4.2
Mexico,Liga MX,2021/2022,26/11/2021,1:00,Puebla,Club Leon,2,1,H,2.85,3.04,2.88,2.89,3.05,2.95,2.71,2.92,2.8
Mexico,Liga MX,2021/2022,26/11/2021,3:05,Santos Laguna,U.A.N.L.- Tigres,2,1,H,2.59,2.89,3.38,2.59,3.1,3.5,2.42,2.9,3.23
