Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,-38,60
D1,28/9/2019,Hoffenheim,M'gladbach,0,3,M'gladbach,M'gladbach,1,1.75,2.5,3.5,2.75,0,M'gladbach,0.85,2.08,1.85,,
D1,28/9/2019,Mainz,Wolfsburg,0,1,Wolfsburg,Wolfsburg,1,1.37,2.9,3.5,2.37,0.25,Wolfsburg,0.535,1.72,2.07,,
D1,28/9/2019,Paderborn,Bayern Munich,2,3,Bayern Munich,Bayern Munich,1,0.14,15,10,1.14,2.75,Paderborn,-1,2.1,1.83,,
D1,28/9/2019,RB Leipzig,Schalke 04,1,3,Schalke 04,RB Leipzig,0,-1,1.53,4.33,6,-1,Schalke 04,-1,2,1.93,,
D1,28/9/2019,Dortmund,Werder Bremen,2,2,Draw,Dortmund,0,-1,1.25,6.5,11,-1.5,Werder Bremen,0,1.93,2,,
D2,28/9/2019,Bochum,Darmstadt,2,2,Draw,Bochum,0,-1,1.95,3.75,3.5,-0.5,Darmstadt,0,2.02,1.83,,
D2,28/9/2019,Karlsruhe,Heidenheim,1,1,Draw,Heidenheim,0,-1,2.2,3.4,3.2,-0.25,Heidenheim,0,2.1,1.77,,
D2,28/9/2019,Regensburg,Hamburg,2,2,Draw,Hamburg,0,-1,3.6,4,1.85,0.75,Regensburg,0,1.85,2,,
SP1,28/9/2019,Ath Bilbao,Valencia,0,1,Valencia,Ath Bilbao,0,-1,2.2,3.2,3.5,-0.5,Valencia,-1,2.07,1.86,,
SP1,28/9/2019,Getafe,Barcelona,0,2,Barcelona,Barcelona,1,0.85,4.33,3.4,1.85,0.25,Barcelona,0.82,2.11,1.82,,
SP1,28/9/2019,Granada,Leganes,1,0,Granada,Granada,1,1.4,2.4,3.1,3.2,-0.25,Granada,0.58,2.16,1.78,,
SP1,28/9/2019,Ath Madrid,Real Madrid,0,0,Draw,Real Madrid,0,-1,2.4,3.3,3,-0.25,Real Madrid,0,2.05,1.88,,
SP2,28/9/2019,Fuenlabrada,Vallecano,2,2,Draw,Vallecano,0,-1,3.2,3,2.4,0,Draw,0,2.15,1.67,,
SP2,28/9/2019,Alcorcon,Extremadura UD,0,2,Extremadura UD,Alcorcon,0,-1,1.75,3.4,5,-0.25,Extremadura UD,-1,1.9,1.95,,
SP2,28/9/2019,Huesca,Girona,1,0,Huesca,Draw,0,-1,2.25,3,3.5,-0.25,Huesca,-0.5,1.95,1.9,,
SP2,28/9/2019,Elche,Ponferradina,1,0,Elche,Ponferradina,0,-1,2.2,3,3.6,-0.5,Elche,-1,1.9,1.95,,
