Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,prediction,Hit?,odds,B365H,B365D,B365A,AHCh,AHCh_res,AHCh_odds,B365CAHH,B365CAHA,PredictH,PredictD,PredictA
D1,28/9/2019,Augsburg,Leverkusen,0,3,Leverkusen,Leverkusen,1,0.6,5,4.5,1.6,0.75,Leverkusen,0.98,1.95,1.98,0.334071179,0.275286627,0.390642194
D1,28/9/2019,Hoffenheim,M'gladbach,0,3,M'gladbach,M'gladbach,1,1.75,2.5,3.5,2.75,0,M'gladbach,0.85,2.08,1.85,0.21816355,0.307064621,0.474771829
D1,28/9/2019,Mainz,Wolfsburg,0,1,Wolfsburg,Wolfsburg,1,1.37,2.9,3.5,2.37,0.25,Wolfsburg,0.535,1.72,2.07,0.179787937,0.227580416,0.592631647
D1,28/9/2019,Paderborn,Bayern Munich,2,3,Bayern Munich,Bayern Munich,1,0.14,15,10,1.14,2.75,Paderborn,-1,2.1,1.83,0.069791997,0.123993123,0.80621488
D1,28/9/2019,RB Leipzig,Schalke 04,1,3,Schalke 04,RB Leipzig,0,-1,1.53,4.33,6,-1,Schalke 04,-1,2,1.93,0.547972812,0.261712968,0.19031422
D1,28/9/2019,Dortmund,Werder Bremen,2,2,Draw,Dortmund,0,-1,1.25,6.5,11,-1.5,Werder Bremen,0,1.93,2,0.625780915,0.184283504,0.189935581
D2,28/9/2019,Bochum,Darmstadt,2,2,Draw,Bochum,0,-1,1.95,3.75,3.5,-0.5,Darmstadt,0,2.02,1.83,0.42279834,0.2682546,0.30894706
D2,28/9/2019,Karlsruhe,Heidenheim,1,1,Draw,Heidenheim,0,-1,2.2,3.4,3.2,-0.25,Heidenheim,0,2.1,1.77,0.282220255,0.250870188,0.466909557
D2,28/9/2019,Regensburg,Hamburg,2,2,Draw,Hamburg,0,-1,3.6,4,1.85,0.75,Regensburg,0,1.85,2,0.152129382,0.211440792,0.636429827
SP1,28/9/2019,Ath Bilbao,Valencia,0,1,Valencia,Ath Bilbao,0,-1,2.2,3.2,3.5,-0.5,Valencia,-1,2.07,1.86,0.518547319,0.271700423,0.209752258
SP1,28/9/2019,Getafe,Barcelona,0,2,Barcelona,Barcelona,1,0.85,4.33,3.4,1.85,0.25,Barcelona,0.82,2.11,1.82,0.339956519,0.222725125,0.437318356
SP1,28/9/2019,Granada,Leganes,1,0,Granada,Granada,1,1.4,2.4,3.1,3.2,-0.25,Granada,0.58,2.16,1.78,0.640683102,0.24397281,0.115344088
SP1,28/9/2019,Ath Madrid,Real Madrid,0,0,Draw,Real Madrid,0,-1,2.4,3.3,3,-0.25,Real Madrid,0,2.05,1.88,0.252272986,0.292368028,0.455358986
SP2,28/9/2019,Fuenlabrada,Vallecano,2,2,Draw,Vallecano,0,-1,3.2,3,2.4,0,Draw,0,2.15,1.67,0.322232334,0.296102533,0.381665133
SP2,28/9/2019,Alcorcon,Extremadura UD,0,2,Extremadura UD,Alcorcon,0,-1,1.75,3.4,5,-0.25,Extremadura UD,-1,1.9,1.95,0.559807084,0.258711774,0.181481142
SP2,28/9/2019,Huesca,Girona,1,0,Huesca,Draw,0,-1,2.25,3,3.5,-0.25,Huesca,-0.5,1.95,1.9,0.333866678,0.372581631,0.293551691
